imdb_title_id,title,year,genre,country,language,director,description,avg_vote,votes
tt0002646,A Million Little Pieces,2018,Drama,USA,English,Sam Taylor-Johnson,A drug dependent young man faces his past and his inner demons after he is interned in an institution for addicted.,6.2,1551
tt0003014,Bolden,2019,Drama,USA,English,Dan Pritzker,"A mythical account of the life of Buddy Bolden, the first Cornet King of New Orleans.",5.6,417
tt0003102,Pattabhiraman,2019,Drama,India,Malayalam,Kannan Thamarakkulam,It is the story of a warrior against food adulteration and challenges he faces because of that.,7,742
tt0003167,Jagtsæson,2019,Comedy,Denmark,Danish,Tilde Harkamp,"Eva, a recently divorced, single mom, goes away for a weekend at a spa with her childhood friend Marlene to help her get through her midlife crisis. Isabella, the new girlfriend of Eva's ...",5.2,316
tt0003637,Bull,2019,Drama,USA,English,Annie Silverstein,"In a near-abandoned subdivision west of Houston, a wayward teen runs headlong into her equally willful and unforgiving neighbor, an aging bullfighter who's seen his best days in the arena; it's a collision that will change them both.",6.7,1531
tt0003657,IRIS: A Space Opera by Justice,2019,Music,France,English,André Chemetoff,"A 60 minute film of Justice's 2017-2018 live show, recorded in an empty and invisible space without an audience, focusing exclusively on the impressive production and music. The show has ...",8,256
tt0003973,Death Whisper,2019,Horror,"Indonesia, South Korea",Indonesian,Awi Suryadi,"Alex, a new highschool student met Maggie, and become best friends. Suddenly weird things started to happen in their highschool.",6.4,146
tt0004026,Nedunalvaadai,2019,Drama,India,Tamil,Selvakannan,"An unemployed youngster is at the crossroads, puzzled about choosing between family and love.",7.3,157
tt0004134,Zagrebacki Ekvinocij,2019,Comedy,Croatia,Croatian,Svebor Mihael Jelic,"Six young friends decide that the 2015 spring equinox is a great reason to throw a party. Two of them will prepare the ""venue"", the other two will get the booze, and the last two will get ...",8.1,197
tt0004181,Alem-i Cin 2,2019,Horror,Turkey,Turkish,Özgür Bakar,The police is in search of the mystery case behind the disappearance of a girl which occurred a while ago. Salih Hodja is the main suspect behind the girls' disappearance since that he was ...,5,376
tt0004681,Staged Killer,2019,Thriller,USA,English,Christopher Ray,"When a former co-host, Jake Everett, works his way back into the professional life of popular TV morning show host Naomi Spencer, the show's success skyrockets, but Naomi's personal life begins to fall apart.",3.4,216
tt0004707,Once Upon a Time in Deadwood,2019,Western,USA,English,Rene Perez,"A notorious gunslinger is slipped a slow-acting poison by an heiress and told he has three days to track down and rescue her sister, who has been kidnapped by a gang of hoodlums and holds the antidote.",2.8,176
tt0004712,Scare Attraction,2019,Horror,UK,English,Steven M. Smith,Reality TV stars attend a Halloween Scare Attraction. Suddenly the escape room turns deadly as gas leaks in leaving them unconscious. A voice tells them they must tell a truth or die. Who will survive the real scare attraction?,4,288
tt0004743,Zero Distance,2020,Thriller,Saudi Arabia,Arabic,Abdulaziz Alshlahei,A photographer faces his questionable past when he finds a picture of a dead body on his apartment floor and his pistol missing a bullet.,7,240
tt0004766,Hot Gimmick: Girl Meets Boy,2019,Drama,Japan,Japanese,Yûki Yamato,Hatsumi and her family live normal lives until she is used by Ryoki who begins to bully and intimidate her. Azusa is a friend in the area and also good looking. He has the hots for Hatsumi ...,4.5,234
tt0005060,Seytan-i Ins,2019,Horror,Turkey,Turkish,Gökhan Ari,"Semih lives in Istanbul with his grandmother. His father and mother died of a sin thirty years before this. However, Semih knows that her parents had died in a traffic accident. Semih ...",4.9,102
tt0005339,We Are Legends,2019,Action,Hong Kong,Cantonese,Yuhang Chen,"My brother ""Investing"" and his younger brother ""Electric Rabbit"" grew up in an orphanage. They were adopted by the school worker ""Thunder Sir"" and received the help of ""Lei Master"" and ...",5.1,156
tt0005402,Sweater,2019,Drama,India,Bengali,Shiladitya Moulik,"After facing multiple rejections in matrimony, Tuku agrees to learn knitting when insisted by a prospective mother-in-law, only to rediscover her life and relationships.",7.2,608
tt0005557,Evvarikee Cheppoddu,2019,Drama,India,Telugu,Basava Shankar Eeday,"Hari and Harathi are in love, but Harathi's father won't agree to their relationship because of their caste differences.",7.3,288
tt0005809,Flat Earth: To the Edge and Back,2019,Comedy,USA,English,Logan Paul,Logan goes around North America to discover and learn about the flat earth community and he decides whether he believes in it too,3.5,159
tt0005916,Kizim Gibi Kokuyorsun,2019,Drama,"Turkey, USA, France","Turkish, French, English",Olgun Özdemir,"""Scent of My Daughter"" (English title translation). In this heartfelt, emotionally moving film, three strangers lives are shattered by tragic events as they find themselves crossing paths ...",6,113
tt0006327,The Exigency,2019,Sci-Fi,USA,English,Cody Vibbart,"With a clueless King and failing military, the planet of Gallesha is on the brink of domination by a tyrant, Diederick, of the planet Anumbis. Gallesha's last hope for survival is to retrieve their retired legendary war hero.",6.5,107
tt0006509,Dybbuk Box: The Story of Chris Chambers,2019,Horror,USA,English,Joseph Mazzaferro,The encounters recorded by Chris Chambers have been studied by industry professionals and proven to be accurate recorded paranormal accounts. Currently documented as one of the most supernatural recorded events to date.,5.5,424
tt0006517,Sono solo fantasmi,2019,Comedy,Italy,Italian,"Christian De Sica, Brando De Sica",Three brothers confront a ghost outbreak in the city of Naples.,4.8,134
tt0006589,Song wo shang qing yun,2019,Drama,China,Mandarin,Congcong Teng,"Diagnosed with ovarian cancer, a 29-year-old journalist who longs for true love ends up writing the biography for an entrepreneur's father, which leads her to embark on an existential journey.",6.2,258
tt0006753,The Party Planner,2020,Thriller,USA,English,Jake Helgren,"When young art gallery owner and mother Kayla Anderson finds herself drowning in work and in need of help planning her daughter Kerry's big upcoming Sweet Sixteen bash, she hires pretty, ...",4.7,143
tt0006809,2 Gisht Mjaltë,2019,Comedy,Albania,Albanian,Emir Khalilzadeh,"The story of a couple trying to realize a honeymoon in the Caribbean, but a mistake in buying tickets makes them wander the streets of southern Albania experiencing many different vicissitudes.",3.2,561
tt0007309,2177: The San Francisco Love Hacker Crimes,2019,Sci-Fi,USA,English,Jose Figueroa,Mysterious stranger helped save the day when proper data was obtained no one was harmed,1.5,102
tt0007340,Smile Please,2019,Drama,India,Marathi,Vikram Phadnis,"Nandini Joshi, an award-winning photographer, is going through a personal crisis. Even as her busy husband and stubborn daughter continue to neglect her, Nandini struggles to find a sense ...",7,136
tt0007522,L'hotel degli amori smarriti,2019,Comedy,"France, Belgium, Luxembourg",French,Christophe Honoré,"After 20 years of marriage, Maria decides to leave. She moves to the room 212 of the hotel opposite her marital home. From there, Maria can scrutinize her apartment, her husband, her wedding. She wonders if she has made the right decision.",6.1,1311
tt0007558,Schwesterlein,2020,Drama,"Switzerland, Germany","German, French, English","Stéphanie Chuat, Véronique Reymond","Lisa has bid goodbye to her ambitions as a playwright and the Berlin arts scene and now lives in Switzerland with her husband, who runs an international school. When her twin brother falls ill, she returns to Berlin.",5.9,265
tt0007755,Chambal,2019,Drama,India,Kannada,Jacob Varghese,Films about the prevalent system that are told without filters are barely any in Kannada and this sets the film apart. The film does have that little trigger that acts as a catalyst in making you feel uneasy about the world around you.,7.4,146
tt0007983,Incitement,2019,Thriller,Israel,Hebrew,Yaron Zilberman,"Details the year leading to the assassination of Israel's Prime Minister, Yitzhak Rabin (1922-1995), from the point of view of the assassin.",7.1,439
tt0008011,Frantsuz,2019,Drama,Russia,Russian,Andrey Smirnov,"In 1957, a French student Pierre Duran arrives in Moscow for an internship at Moscow State University. Here he meets the Bolshoi Theater ballerina Kira Galkina and photographer Valera ...",6.4,148
